track_id;track_name;artist_id;artist_name;album_id;duration;release_date;popularity;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;playlist_id;playlist_name;popularity_rate;PITCH
0wyaAxRo2DMvhKhQd6vCxt;Half-Truism;5LfGQac0EIXyAN8aUwmNAQ;The Offspring;3LhnJMmYkizRwyHdw8y0Qr;205946;2008-06-13;0;0.43;915;7;-3.82;1;0.0377;0.00086;3.21E-6;0.0837;415;144.147;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
1A4gctj838fZyMZbLdVyS8;Still Waiting;0qT79UgT5tY4yudH9VfsdT;Sum 41;1QMQj2xFub6FfgcvPHYzXk;158733;2002-11-25;0;431;0.95;7;-4.918;1;0.26;0.00105;0.0000363;272;0.56;191.936;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
70AzlvPvYHw2XSZxu2n611;Over My Head (Better Off Dead);0qT79UgT5tY4yudH9VfsdT;Sum 41;1QMQj2xFub6FfgcvPHYzXk;149306;2002-11-25;0;0.44;919;7;-4.462;1;0.0735;0.00222;0.00503;0.0892;773;184.324;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
5wGjRmpmlg1GSXwnJwCLQM;Nine-Digit;47pJ8Y0bj9O84b0eepaSqY;Pridebowl;3cBJRgOPEFzLEKuOvy7RYB;140293;1996-10-01;0;368;936;9;-9.785;0;0.0389;0.0000117;0.00141;114;712;96.298;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
57Kt4u2SW3VXglXy7VaCgm;Tomorrow Starts Today;1ROFZ7U6Yvj0lHzydH8x6J;88 Fingers Louie;1OxmKQbS3Tpb2jCl3SQU0N;115933;1998-09-08;0;308;985;7;-2.884;1;127;0.0000506;0.00302;232;503;122.914;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
2uKZLuqJ4xA9NJIdymDEkv;Go Away;1ROFZ7U6Yvj0lHzydH8x6J;88 Fingers Louie;1jRnjN68MVrqVW6GHbOX08;137520;1997-02-11;0;226;977;10;-6.446;1;0.0805;4.98E-6;782;0.0631;289;177.802;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4oYxFSPTyXae25w9APBYOx;I’ve Won;1ROFZ7U6Yvj0lHzydH8x6J;88 Fingers Louie;5T9v526KrgPUWWRsXOmLW3;95560;1995-09-11;0;265;943;1;-6.099;0;101;0.000872;0;262;523;163.68;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
34uKquOrQLgzBsUbFTkMTc;New Noise;5sdxGvwxI1TkTA6Pu2jnTb;Refused;7MVTDj6SVvfGIa8EUnyYKG;312720;2004;0;0.68;763;9;-8.158;1;0.0908;0.0045;0.00462;106;385;105.902;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
5cxmDZMaeZ9wICgsufg4xu;Friends & Traitors;7ik758oYwkKmQtbZtAdOOm;Raised Fist;5uCaHcPizsBJbjjZuWTyGl;190960;2009-09-07;0;569;918;1;-4.983;1;0.0475;7.03E-6;781;147;129;129.999;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
0Z4AhW3uUuuHPi1eZ6F3Ms;Wounds;7ik758oYwkKmQtbZtAdOOm;Raised Fist;5uCaHcPizsBJbjjZuWTyGl;177480;2009-09-07;0;588;842;1;-5.63;1;0.0324;0.0000106;0.87;548;165;119.956;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
4jsJ4JJYuLYl9XXwmMXtoQ;Dear Coach's Corner;7qpy5KY3DVrezixTl6mziA;Propagandhi;19LbUXUuFRzHEvmwJaVBOw;291933;2009-03-08;0;386;902;3;-6.841;0;0.0753;0.00474;1.02E-6;329;453;109.291;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
7CdGO6KJg20UAAXl7CW8q6;New Direction;4dJX4iJ0qbB4gjkeenbK2N;Gorilla Biscuits;1AAn8Qve9N7NET9v1dKceh;149133;1989-07-14;43;356;983;6;-4.354;1;136;0.00321;2.39E-6;246;0.19;137.374;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;mid-low;0
1esXfOvsYhAih2CYhld7fi;Nazi White Trash;3mqzUSlXfwU4J7ztz5u6OP;Leftöver Crack;0FLfgNpwmPY8xnwqVzj7Yq;179666;2001;0;373;985;4;-5.965;1;305;0.00213;0.0024;438;0.0929;129.761;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
3f4eiQdwRSVkTbxNnIzeuA;Shoot the Moon;0t1X1ygK807hH0upA9lYJw;Voodoo Glow Skulls;5gPDSmYd5HJXEnnjb4ZCum;193146;1995;0;339;995;1;-4.343;0;0.0535;0.00128;707;312;637;139.452;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
72rIBSWEO5T6i5dlXHSl4A;Paint It Black;6xEMoIJbN8zgmMpv6Nzt5Z;The Unseen;6eJ7XyKXMGzjnKVFJDnMmm;154573;2005-05-10;0;263;911;4;-5.348;1;0.0643;0.00123;0.00106;243;738;186.442;5Z6HJD7JSrSw4pGWsyxdqw;PUNK ROCK;low;0
